gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
2784,5.76947737,1.0000,4097,6.5691,10.7600,3964.7750,266.3034,142.04
2785,5.76947737,1.0000,4097,6.3912,13.1510,3966.7250,312.7943,142.09
2786,5.76947737,1.0000,4097,5.6624,10.8980,3985.2500,284.1285,142.14
2787,5.76947737,1.0000,4097,5.5864,10.7847,3987.8000,270.3330,142.20
2788,5.76947737,1.0000,4097,4.8620,12.2489,4022.0000,257.9424,142.25
2789,5.76947737,1.0000,4097,5.6122,10.2228,3988.4000,261.1648,142.31
2790,5.76947737,1.0000,4097,5.2079,11.4975,3989.9000,293.6824,142.36
2791,5.76947737,1.0000,4097,8.4641,14.5181,3921.2750,357.6221,142.41
2792,5.76947737,1.0000,4097,6.5720,12.1462,3960.8750,306.1644,142.46
2793,5.76947737,1.0000,4097,3.0905,6.3454,4054.1750,158.3591,142.52
2794,5.76947737,1.0000,4097,7.5070,12.5216,3946.7750,301.7822,142.57
2795,5.76947737,1.0000,4097,7.1592,13.9650,3957.2000,327.3300,142.63
2796,5.76947737,1.0000,4097,6.7675,13.0204,3958.1000,321.7730,142.68
2797,5.76947737,1.0000,4097,3.5580,9.2715,4037.6750,222.2234,142.73
2798,5.76947737,1.0000,4097,7.8540,12.8336,3925.3250,330.7393,142.79
2799,5.76947737,1.0000,4097,7.2404,15.5669,3954.3500,356.3022,142.84
2800,5.76947737,1.0000,4097,3.9086,9.7020,4025.1500,244.7180,142.89
2801,5.76947737,1.0000,4097,7.5229,12.9388,3943.9250,325.9003,142.94
2802,5.76947737,1.0000,4097,5.9435,10.0073,3979.1000,259.5184,142.99
2803,5.76947737,1.0000,4097,4.1331,9.5650,4040.6000,215.9231,143.04
2804,5.76947737,1.0000,4097,3.9652,6.4457,4029.9500,162.6522,143.10
2805,5.76947737,1.0000,4097,3.2038,7.8392,4040.1500,203.7494,143.15
2806,5.76947737,1.0000,4097,6.5931,10.6528,3960.8000,280.0085,143.20
2807,5.76947737,1.0000,4097,5.9874,16.3000,3989.7500,339.0536,143.25
2808,5.76947737,1.0000,4097,5.1924,9.3737,3999.2000,241.9141,143.31
2809,5.78708441,1.0000,4097,3.6524,5.2149,4056.4250,120.5220,143.36
2810,5.78708441,1.0000,4097,3.7511,7.9193,4042.6250,193.8882,143.41
2811,5.78852612,1.0000,4097,6.7227,12.5803,3960.2750,312.2011,143.46
2812,5.78852612,1.0000,4097,8.7740,13.9119,3918.8750,336.2060,143.51
2813,5.78852612,1.0000,4097,4.8021,9.1443,4001.9000,238.0384,143.56
2814,5.78852612,1.0000,4097,2.5233,5.1951,4058.7500,143.0622,143.61
2815,5.78852612,1.0000,4097,4.4347,11.1208,4017.8750,265.0621,143.67
2816,5.78871151,1.0000,4097,9.6243,16.1509,3894.2750,380.1391,143.72
2817,5.78871151,1.0000,4097,6.4707,11.8025,3973.7750,289.9538,143.77
2818,5.78871151,1.0000,4097,6.5003,11.8425,3964.9250,294.9867,143.82
2819,5.78871151,1.0000,4097,3.9421,7.3084,4047.2000,181.5159,143.88
2820,5.78871151,1.0000,4097,4.7253,7.4454,4007.6750,194.8066,143.93
2821,5.78876929,1.0000,4097,6.1476,14.2281,3984.5750,326.7095,143.98
2822,5.78876929,1.0000,4097,5.3828,9.3407,3995.9750,247.0818,144.03
2823,5.78876929,1.0000,4097,5.0139,9.9297,4001.6000,259.5383,144.09
2824,5.78876929,1.0000,4097,7.7247,11.7218,3929.9000,309.1676,144.14
2825,5.78876929,1.0000,4097,6.9135,10.9455,3948.5000,282.4106,144.19
2826,5.78876929,1.0000,4097,4.7342,10.6698,4014.2750,244.6949,144.24
2827,5.78876929,1.0000,4097,9.9266,15.9703,3880.0250,391.9913,144.30
2828,5.78876929,1.0000,4097,3.3255,6.2450,4038.5000,169.0374,144.34
2829,5.78876929,1.0000,4097,4.7100,10.7711,4009.2500,265.8504,144.40
2830,5.78876929,1.0000,4097,6.1508,11.6381,3975.8750,293.8987,144.45
2831,5.78876929,1.0000,4097,3.7246,8.7323,4034.4500,222.9896,144.50
2832,5.78876929,1.0000,4097,5.1525,8.3479,4001.3750,224.1064,144.55
2833,5.78876929,1.0000,4097,3.4713,6.4055,4043.0750,168.2228,144.59
2834,5.78876929,1.0000,4097,7.2666,13.1950,3955.7000,325.2876,144.64
2835,5.78876929,1.0000,4097,6.2368,12.3110,3965.9750,315.0381,144.69
2836,5.78876929,1.0000,4097,5.7614,11.5576,3984.2000,282.3395,144.74
2837,5.78883485,1.0000,4097,4.2168,8.9787,4012.3250,238.1861,144.79
