gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
286,0.99840015,1.0000,4097,3.3257,5.9483,4046.7500,159.5054,15.15
287,0.99840015,1.0000,4097,4.8807,9.4763,4005.3500,243.5826,15.20
288,0.99840015,1.0000,4097,4.2804,7.7470,4010.0000,212.1501,15.26
289,0.99840015,1.0000,4097,5.0611,9.7119,4013.0750,246.9307,15.31
290,0.99840015,1.0000,4097,5.0795,10.2430,4002.2750,262.4125,15.36
291,0.99840015,1.0000,4097,8.7220,13.7013,3904.8500,351.1205,15.41
292,0.99840015,1.0000,4097,3.4379,6.7566,4033.5500,184.7895,15.47
293,0.99840019,1.0000,4097,5.4504,10.0117,3994.3250,254.6252,15.52
294,0.99840019,1.0000,4097,8.2850,12.6801,3923.3750,330.2652,15.57
295,0.99840718,1.0000,4097,4.6326,7.2252,4012.0250,188.5929,15.62
296,0.99840718,1.0000,4097,6.6054,11.0535,3953.9000,291.0620,15.68
297,0.99840718,1.0000,4097,6.7042,12.1306,3972.3500,305.4126,15.73
298,0.99840718,1.0000,4097,4.6755,9.4685,4004.9000,244.2064,15.78
299,0.99840718,1.0000,4097,5.4701,8.4605,3985.9250,232.1848,15.83
